href;title;price;features;propertyType;shortLocation;adType;date
/es/comprar/vivienda/ingenio/trastero-parking/158367153/d;Piso en venta en Calle Alfredo Kraus, Ingenio;104.000 €;['3 habs.', '1 baño', '94 m²', 'con parking'];Piso;Calle Alfredo Kraus, Ingenio;Comprar;2021/04/12
/es/comprar/vivienda/santa-lucia-de-tirajana/aire-acondicionado-ascensor-amueblado-parking/157463301/d;Piso en venta en Santa Lucía de Tirajana;121.500 €;['3 habs.', '2 baños', '80 m²', 'con ascensor y parking'];Piso;Santa Lucía de Tirajana;Comprar;2021/04/12
/es/comprar/vivienda/santa-lucia-de-tirajana/terraza-patio/158924839/d;Casa adosada en venta en Santa Lucía de Tirajana;190.000 €;['4 habs.', '1 baño', '114 m²', 'con terraza'];Casa adosada;Santa Lucía de Tirajana;Comprar;2021/04/12
/es/comprar/vivienda/santa-lucia-de-tirajana/aire-acondicionado-parking/154894748/d;Piso en venta en Santa Lucía de Tirajana;106.000 €;['3 habs.', '1 baño', '79 m²', ''];Piso;Santa Lucía de Tirajana;Comprar;2021/04/12
/es/comprar/vivienda/santa-lucia-de-tirajana/aire-acondicionado-trastero-ascensor-amueblado-parking/157580102/d;Piso en venta en Santa Lucía de Tirajana;140.000 €;['3 habs.', '2 baños', '99 m²', 'con ascensor y parking'];Piso;Santa Lucía de Tirajana;Comprar;2021/04/12
/es/comprar/vivienda/ingenio/trastero/159287783/d;Piso en venta en Ingenio;119.420 €;['3 habs.', '1 baño', '80 m²', ''];Piso;Ingenio;Comprar;2021/04/12
/es/comprar/vivienda/telde/terraza-patio/157919367/d;Casa adosada en venta en Ardilla, Telde;137.500 €;['5 habs.', '2 baños', '140 m²', 'con terraza'];Casa adosada;Ardilla, Telde;Comprar;2021/04/12
/es/comprar/vivienda/las-palmas-de-gran-canaria/parking-terraza-trastero/153275193/d;Piso en venta en Calle Cid, Las Palmas de Gran Canaria;360.000 €;['3 habs.', '2 baños', '105 m²', 'con terraza'];Piso;Calle Cid, Las Palmas de Gran Canaria;Comprar;2021/04/12
/es/comprar/vivienda/telde/parking-terraza-trastero/154838554/d;Piso en venta en Calle Doctor Melián, Telde;161.500 €;['2 habs.', '2 baños', '78 m²', 'con terraza'];Piso;Calle Doctor Melián, Telde;Comprar;2021/04/12
/es/comprar/vivienda/las-palmas-de-gran-canaria/parking-trastero-zona-comunitaria-piscina/154064651/d;Piso en venta en Carretera de Chile, 27, Las Palmas de Gran Canaria;186.500 €;['2 habs.', '2 baños', '82 m²', ''];Piso;Carretera de Chile, 27, Las Palmas de Gran Canaria;Comprar;2021/04/12
